artist_id,nb_fan,nb_album
981273,1919,2
1472020,3624,11
6542,113604,13
8486,91807,13
3466,2070,3
330,491317,41
1562640,103875,4
361639,1070917,19
320206,140683,22
2790,2358,62
109903,262276,40
345055,466340,27
569,813066,20
1579052,241,4
58034,4909,22
84873,181194,148
157160,237,2
16859,1057,15
8121,20523,26
255371,3199,16
259644,2180,8
1485893,129,5
290,3228428,84
1723,122588,60
801616,1455,26
1660981,14486,2
877112,45,0
1169,67673,22
5613427,886,20
2730,361715,111
1699659,82,12
1424821,2724830,30
59923,1822,4
1930831,2743,22
1938791,201,1
1977291,558,3
1631666,1873,5
393818,169,10
445137,287961,2
4241,15168,12
2605,399521,14
12022,101242,22
2720,19482,41
1445,91383,43
2453981,331,1
2573241,908,19
374717,10297,18
382297,872,16
145376,79227,23
326228,180,2
1515522,1028,97
5161,2326,9
54400,6255,12
142899,1730,7
3338141,118,2
1431888,814,27
1615255,3784,28
1530458,178,4
258136,2342,8
355507,122,3
666191,2310,16
254870,1427,6
981598,3695,15
300433,512,76
3934881,87,7
1473839,9692,0
1124954,1806,3
300307,273,8
204234,199092,61
13595,1498,13
3881631,1927347,23
4040370,1782,4
1698087,209,500
4062066,510,14
79777,147,3
4028317,43,0
1206254,108,6
2144101,16264,8
68436,1711,4
4305558,25,0
335807,11418,32
1419682,33,0
152007,2318,7
598,641402,26
12131,37430,29
6144,5790,452
4361604,9,1
744,1474237,420
399,2513909,35
1283805,102,9
10366,951,22
488845,13770,6
99547,192,6
60526,976,1
582376,20,3
250292,6029,28
1315414,1391,5
4496414,184,1
4053546,844,4
316686,1648,0
2254291,198,4
4247056,904,2
311180,916,0
169712,686,0
194919,665,0
4247060,4407,1
188321,20048,1
77736,536,3
4247062,140,0
4522707,1,0
88395,378,4
3813,208829,43
4371361,140,2
64887,1590,25
8658,247981,480
8898,41429,12
243650,467,151
4624287,133,6
4637124,33,1
1039,84172,16
16998,258151,18
7012,1615,8
71798,25945,68
668026,11650,9
392408,16734,6
873799,1346,7
14369,1196,13
4024,4919,6
1748,62222,10
1136083,12099,23
268341,2228,5
146798,1101,30
1562148,319,2
4103267,3092,7
14670,14201,17
1425969,292,9
8995,72969,76
4860587,1,2
115306,5917,19
4888363,465,1
62769,988,54
4919017,22,6
75209,14281,6
4782876,80867,28
493,620716,99
1581,150210,36
13570,248335,29
251079,2160,1
65753,3379,11
107666,941040,30
320253,342860,19
2185,16695,44
3188,4824,7
72503,594047,32
11963,830277,27
365071,35946,6
13341,22154,13
1452146,3742,0
1606760,10710,11
2853441,49472,3
68285,8551,4
12873,91125,15
14044,245435,14
261264,53434,11
208833,16065,9
12878,2942,11
288,30913,45
372093,19422,13
2087,2668,75
310264,56745,15
63759,26,4
65834,99537,31
5096150,1744,2
5103577,161,1
12767,2732,40
156229,192570,144
311748,24136,10
189,1088793,41
5154754,2920,0
5163755,22904,3
535396,99755,57
5164169,1502,16
275668,47916,21
4958150,698,456
5208987,105,6
82856,817,172
66164,39897,14
354607,384,14
4540482,6116,9
1056415,1063,88
5048547,96865,18
201875,20025,10
180277,533,6
211089,19474,27
1275368,703,7
72660,56477,25
4164,4880,14
211447,770,11
423442,11094,53
15323,13629,251
5857,28945,437
796051,118130,28
64359,304,5
4045965,18057,8
275117,1766,6
92785,17755,15
994970,295,1
1077473,5734,16
99345,315693,57
362331,641,4
4861825,9,1
166822,454,7
362324,324,2
92757,4602,26
4109357,382,0
816762,2786,13
5537022,16,0
97546,1166,8
1351391,84,0
990,55960,46
104922,23218,21
2372471,2729,4
401861,1555,14
415841,22594,21
377396,2785,17
1665531,7871,18
2337,919839,404
1853921,6993,6
1370775,6,0
138279,3006,17
66466,234,43
164002,332157,146
5625547,189,0
4960359,373,235
369238,399,4
398362,23059,11
1097483,291,12
10152,2291,47
1294989,98,0
1348647,113,2
1230710,44,4
180474,43077,32
17008,25010,48
648802,50839,20
382874,21621,13
2224911,4713,10
1666750,1187,4
5818703,17453,13
14706,404,10
3885,22270,5
5853893,1,1
89536,52162,35
62288,2508,21
398066,6807,8
4763,9385,14
1608,82771,42
412111,2095,4
1834,283558,51
1744,59184,17
133427,33746,11
15827,246312,355
2457,2363,18
6074960,41,20
6221910,34,0
3014,1831,1
1560,218649,408
463058,4137,17
1509858,55,11
6284586,31,69
5551618,75,7
6337596,16,0
384236,8151136,30
1454125,121529,13
6385332,4,7
4632725,1194,7
134163,326616,24
3558,13220,0
71069,381392,11
6804,2189,22
5867597,3084,4
341839,56951,4
410734,96905,19
239,122557,24
4690027,156,1
4104899,796522,15
16638,8678,7
3265001,1321177,33
416021,13918,15
1234,52165,10
325470,224,7
1641882,116,0
97141,18183,130
460229,7640,17
2830,282826,31
1167182,283,19
68959,1292,31
5825299,4840,2
8432,16165,21
6282080,2192,7
1342,1974633,328
6447674,3566,5
12178,8179056,55
2999,156914,20
67150,50,23
172596,571,22
10257,3436,21
5908,4577,26
6951001,0,0
96880,837,2
390575,1436,14
1564092,139,5
4547040,1370,16
5078,142008,80
4052492,11781,8
6970177,6,0
5695580,487,2
5866223,539660,28
9881790,93,0
9815612,113,1
9880432,42,1
9207864,7,1
9881792,9,0
9881594,11,0
9881592,10,0
196092,28995,85
1003280,78736,102
4738512,24008,8
7053405,26,0
5594559,2515,5
5876247,688536,7
305,285161,111
2318,68051,63
4727658,1179,4
1202336,60677,3
418984,5531,12
391228,24061,9
6310746,493,19
70802,5523,0
98644,2831,66
1155426,69676,16
164826,1674,31
1275894,282,4
10620,1032479,219
1495452,680,2
131668,25177,18
1631191,31,2
1018995,334,3
313082,153,1
1623346,9,1
10423,17409,19
7258034,62,3
4516214,1784,273
6568,54114,25
416239,3543321,26
4023815,785923,27
5560841,10,0
298792,2331,78
6340744,486,8
6690601,430,16
157341,115,2
13468,12610,12
1654286,126894,88
70476,728244,351
3836731,17087,16
5824057,825,35
1003804,2138,26
97123,132976,94
12934,191353,26
574,25084,19
7621152,1380,3
1321599,1714,10
3580,260833,36
57075,20969,86
5742403,34,33
2064061,5976,12
472323,1812,9
323156,1608,4
279672,26610,66
6848441,7210,15
74,187441,32
162248,82933,9
9881636,4,1
1370087,4277,7
7166416,1,0
7570978,14,0
7570962,17,0
1314650,130,2
1190058,322,5
7010095,231,7
7059201,87,5
111741,370,26
1327216,99,8
1438365,296,4
992428,61,13
111626,713,11
4395080,15476,12
7322026,6888,2
4764726,1729,3
442532,4096,6
1628408,197789,9
450901,74883,34
75354,240474,28
4961397,0,3
8135114,3933,1
1378053,6880,15
2839351,39818,17
9038,16328,7
1002521,2111829,21
5866371,582,10
4943992,1,0
461,505349,57
2719,77736,20
359469,2443,4
930,33831,15
4870569,55,500
3471,3888,1
8720674,387,0
1264687,655691,26
174351,563683,10
6693825,368,11
8813728,8,0
148492,13751,24
1264174,361,2
1667395,50723,11
8913750,304,1
147404,6678,6
524700,1534,6
12636,471,15
9009802,53,3
5622055,29743,18
107835,346,14
13501,294948,29
7924306,5603,1
5787197,482,7
1649516,21419,30
6060,11470,21
5299859,3264,14
9165852,557,2
9028,5093,111
6557769,91877,27
3801831,271727,3
5427934,1806,2
472084,1052,9
379495,80819,11
194393,1003,6
4072365,69,0
7885,32860,80
372633,26972,2
369408,805914,25
7509794,227,10
7744896,98,12
1453,29972,88
4291388,3766,1
299710,2659,7
12489,3771,330
1466494,14065,11
9646796,8,0
327304,1619,20
583674,5193,11
7962948,841,15
2796521,444,8
7001567,148,19
114228,51455,12
180269,2796,8
6120,202909,28
5286878,495,1
5653270,422,2
6690,232520,34
92782,18509,86
1662754,270,2
1012657,9750,21
900,91220,423
8461,10080,37
1209072,813983,24
9944078,5186,3
3058301,263947,9
1658,1057682,27
4651349,114,4
398227,22037,6
405259,5303,12
5506820,33424,24
1597932,2383,10
4745094,10985,3
7277714,132,1
14518,7490,11
987051,21159,6
4944552,214,4
336293,1387,20
4448218,602,0
344864,912,4
1494,24997,30
5297639,396,28
1406580,51260,21
4697059,1697,6
4790926,468,2
875469,863,3
214890,4980,22
5623925,2538,7
244512,247,21
1707587,276326,25
5109534,6885,130
14493,194513,8
127508,629,17
4789781,46,1
1536,422472,475
1562681,4398667,22
4387128,2295,3
1652,254055,22
418863,3163,11
187151,895,11
400869,83808,14
465777,2210,7
2554261,953,5
82957,5852,18
5962948,2301391,13
151707,687,31
4843532,3057,8
55068,410,4
10589797,27,5
10605353,13633,0
55661,61,5
1270444,361269,11
54227,27149,37
13110,15385,7
617,1316935,391
89657,154448,26
5117559,135,6
6652060,282,1
10689903,175,0
5648,262518,20
76791,49692,44
2370,69999,67
156375,14099,17
99599,10955,10
4632930,844,3
6570323,160,3
255585,1778,16
2620,6463,34
1035310,5,10
4042249,98895,6
869216,68660,52
7905666,13,2
181041,15894,31
116019,5181,6
3545,41755,61
998682,9810,5
60,10468,5
321522,2695,7
296633,2198,4
299775,758,9
1474221,286,57
1232626,543,56
115711,1080,7
10384882,19,36
10265048,84,5
6179,1373,37
1622,676594,394
8493,28949,425
2098,13779,38
7947666,29,20
183574,496,16
8904,23728,108
265204,471,41
1223150,628,23
499890,19267,6
9175956,71,2
264,633,9
58175,2917,25
367462,3748,10
496565,165,4
90179,433,16
415645,54733,4
92905,90,9
257467,6946,15
113493,22750,17
8741,219541,124
405,1076028,408
535877,9152,25
106729,4093,54
4605175,287,9
4901462,61405,7
1446128,402,5
70019,240678,365
9414420,1862,9
1028480,6437,16
65008,4046,98
44,140764,29
1125,1799553,275
1062,104982,400
95086,816,11
211392,58471,33
54801,5575,14
55165,270,2
55272,395,1
1033392,14957,5
57168,368,8
57580,334,4
868,367908,90
3155,59961,26
11596,3729,10
77984,1786,94
483,3613383,45
591,5183,6
4392749,51,7
823,1285258,25
8427,4681,9
2211,52401,49
487,213081,21
65711,362,47
1442,7536,22
1340,60496,15
66290,130,8
1610,74225,23
271,8480,17
182,4526744,42
5246,9096,10
8127,2517,10
198,1581740,63
75104,84436,410
71387,529,53
13925,21047,397
34,446347,86
75650,1045,11
1458,108825,33
426,1564,9
319,14840,13
3138,91548,231
1564,42654,23
69632,1558,194
79750,865,7
2792,4468709,47
1865,785986,31
106,1549506,33
1188,7153692,43
10961,172445,5
3430,3560,9
3840,10768,23
8983,17418,181
10399,3575,453
73946,732,140
118247,577,1
15892,3124,10
119,3461960,20
2952,35914,7
75491,4583142,68
1211,73191,11
75332,870857,37
166,1217277,421
1154,1048917,397
14156,5603,425
1882,3708,289
459,722610,14
2140,24199,13
693,708058,48
1126,232056,389
147887,194,7
148902,411,9
3198,73915,98
1512,27,0
186766,92,0
628,108403,19
7016,31,0
75072,94,1
82956,616,7
151710,565,3
146147,7104,2
11986,6290,12
3044,3125,3
2938,83192,105
1440,551267,89
103870,43,6
158169,726,1
15667,88753,93
251372,87190,5
15312,19939,13
184789,1774,2
6243,261180,35
66738,1316,7
5520,180368,53
1449,120299,424
4627,34992,14
5763,23149,3
76669,3626,103
1497200,5599,1
3487,830410,31
3807,83465,8
5386048,185,1
931,1649965,29
153920,9088,9
4962,120914,33
1484175,46,2
1722,414,9
3371,2537,3
1500136,20,0
1486711,1,0
9920,12253,77
111902,1434,4
1493536,98,0
243549,7568,69
1812,10472,15
1866,430081,41
1485869,400,0
8400,3103,5
1456,527593,55
16179,3300,4
83324,417,4
262364,5462,1
687,391935,80
179436,422,16
145,8123783,65
1036,415422,412
63470,9300,0
171602,947,29
149264,5457,6
174352,1391,15
1724,4311,7
293032,13,0
664,174527,18
9,563328,22
274,247949,38
2798,57080,100
553,297957,168
3337,3991,24
625,54650,14
207,131352,28
107,155446,23
3868,17794,100
8462,34222,66
174,2215943,52
228,4143377,33
994,56798,31
732,328317,306
1321,8990,12
215,254017,39
1009,242619,89
1118,230730,18
69925,2479230,41
69681,20002,37
1892,269483,416
2498,71061,49
313,2443029,33
12736,3768,18
2707,464801,55
6464,89993,73
229,40692,53
2025,253469,37
808,951245,336
185,1052677,45
143,301451,30
4527,397735,14
69613,68990,66
202,630362,19
248,528993,44
7861,4320,6
980,572033,11
317,66458,41
718,59197,36
288092,585508,16
304926,58,27
312204,34,37
136204,1653,65
149065,454,29
15534,4128,182
131434,1198,36
55610,1447,6
312207,337,2
10567,329,26
258846,32839,26
297599,546,6
325055,33,5
1009000,99594,5
200269,145,1
335780,517,2
15718,16253,20
69591,10900,23
346824,9,2
10564,4970,17
306163,65,7
359766,515,3
360638,25,4
1298586,19,3
365670,2576,4
366704,1089,9
56599,6312,11
41,3942,44
364211,4062,4
340598,1407,2
478254,475,4
13385,7007,19
464550,5756,18
89140,3857,142
534330,38,4
285868,59,2
260889,57822,10
182058,45,3
184108,28,0
184062,97,1
183716,1135617,21
12243,2116367,25
152788,124465,8
318851,1793,8
311644,4646,54
161139,87,7
230,2598442,49
79539,635,28
89144,85,4
871068,3,0
6815,159958,16
6874,181068,1
8133,58613,10
1017,112914,10
71554,845,1
1423,57640,61
8702,14213,4
7285,44111,20
243284,76356,11
728,190149,22
14261,46737,2
75414,10806,14
316584,6,1
58698,24971,2
5248,3950,4
4386,4295,31
78935,1750,8
6246,8365,4
68382,369109,472
312102,140226,4
16735,6043,6
1063434,0,1
5265,61,1
1156579,18,5
1166798,214,6
1184084,219,1
283866,465,24
1182893,61,6
1182006,790,6
256803,162,18
10952714,16434,26
468847,9570,6
4534,741,4
1068,130120,22
749,64943,3
10762,41835,65
280309,639,5
415634,2277,4
632926,580704,17
10284,2309,318
57821,1617,39
474231,97,5
60993,135,12
1134,188173,426
818124,13,2
1283607,1,1
1385,124637,36
12014,40707,23
289877,994,21
1351841,157,4
2737,8572,36
584549,6,1
57504,162952,276
58624,615810,20
4738,22055,15
97542,1360,24
1047125,8,1
182975,153809,37
140324,291,50
2189,17451,7
144293,5,0
3781,8264,20
203706,122743,21
2782,5560,12
4096,27150,13
373312,203,72
462157,160424,403
125346,3030,62
191588,4703,122
1297,710424,12
16396,7610,190
949,16042,14
71813,228028,67
16642,85697,28
817,1320167,51
1324179,1454,26
1468722,52,0
525643,3173634,33
1411929,240,2
336484,6704,20
4704,1081,12
13619,2212,6
138,224828,16
1533165,4628,3
309151,201,4
1381480,360,21
1456881,29,2
39,24131,16
304245,3762,1
107212,525,19
68288,21605,22
333749,908,4
5853,338244,397
712,89874,19
332319,6694,27
427649,5743,3
13576,291683,20
58633,1876,9
1367626,10908,7
1690280,6621,4
1701297,44933,4
1685346,2845,0
1647997,2722,0
1708959,143,0
434,2776605,114
165019,1511,6
2051841,251,0
169361,1775887,84
390148,4457,23
55440,57772,17
3759,126054,20
75036,2252,10
55538,18960,369
390669,11611,11
99563,80584,87
2120151,472,4
185983,7180,1
6258,2180,7
1162,12394,21
8448,18856,16
12842,14918,7
2629651,68,0
2629711,99,0
2629671,5,0
2629611,291,0
2629631,33,0
2629641,10,0
2629621,36,0
743,983478,22
1154879,48578,21
84383,1528,16
256681,1029848,9
65430,498,13
1893401,2,2
1650215,482,22
378079,384,6
1651715,97,5
274910,4,20
3235391,92,1
519420,1255,4
1947241,2898,5
81285,9484,12
17215,11168,12
1014576,13436,20
1418525,2052,13
298536,318,6
685,937188,53
383528,469373,61
3961771,2095,4
6875,13023,28
169782,12319,19
96102,214,1
1133130,2040,2
3675151,295,2
1547241,2539,48
1547240,1450,25
1048314,1607,14
1423309,6217,3
1453230,695,10
73018,223002,35
1468321,44,1
1368016,1820,15
4042251,4758,2
3019,131680,11
390500,1762,3
4372,7664,17
1653488,91,5
100810,173168,43
166673,22810,177
13497,7209,11
241236,547,14
2425,918599,63
57181,520,8
4131495,31689,21
2598271,36,6
2965981,2647,8
5166811,213,9
3112331,1157,12
4170008,15,0
4170010,2,0
304580,209,8
4170003,1,0
4170002,7,0
4170004,4,0
661926,8777,18
1225717,3852,18
1347920,213,4
266,129314,30
3030,145,2
289836,1285,2
4104635,615,0
4305569,89,0
4323449,3,0
4148447,95,0
4148458,7,0
4148454,754,0
4323447,145,0
4323475,119,0
4323476,1247,0
4323477,13,0
4323478,1,0
4323479,11,0
4323480,220,0
4323481,5,0
4323352,210,0
4323354,71,0
4323357,121,0
4323361,43,0
4148450,11,0
1707111,13,5
166717,47402,14
238250,784,6
4335051,668,1
155504,6048,11
406476,4627,4
1215625,2580,6
1530012,93,179
149790,46385,12
1690105,12305,7
169954,304760,45
241342,1632,6
4484845,86,0
112006,1423,6
1028626,110820,9
85698,1214,7
1243672,278,6
101181,105290,302
1352097,1369876,34
108020,712,8
1036766,8628,35
4677989,167,0
97007,121722,13
343660,127281,15
4738674,24,1
78484,10422,10
203631,74981,98
4770049,516,498
4777349,22,20
4333606,483,14
2859431,1363,10
4047894,59090,1
2252591,201526,5
4047896,27361,0
4693141,12501,0
264085,1405,26
4047903,44391,3
350252,6,8
471278,52607,6
147752,459,6
4885162,3,20
9986,3956,23
572944,1538,15
1652613,1689,12
468949,670,2
301327,311,38
64636,2281,11
17055,883,1
4990104,1872,0
261801,92,1
4998495,0,5
4748143,14,1
347342,36,8
5057352,861,8
2996,417966,68
5068483,17,1
4502521,3051,4
553736,1850,9
5128235,1,1
1378545,53,118
4166805,2499,14
5154679,190,1
6080,1634,5
724,273317,63
861,9546,6
2032821,72,12
169192,173,17
8596,8186,0
282200,28747,4
4080,132052,425
152236,481,6
11440,44912,262
4958233,100,16
76024,35,9
10183,201283,13
5383565,1414,8
155338,18515,3
5322506,923,1
1846,912912,45
5314403,988,4
148606,92,72
5387004,3347,5
5171069,372125,26
103,2762686,12
5432341,1555,1
4709690,220,2
1179088,332,4
1538,305879,16
450109,173,141
20,25573,10
5493562,41,1
4191,117908,160
259042,3151,19
152795,5998,5
1440439,323,496
1371193,1840,31
4080352,52,0
4218188,7,3
4657862,640,1
340847,2046,6
5388806,1569,2
65832,19425,155
338076,400,500
1352015,23,4
1600000,1352,6
6009,182550,434
1398844,46108,294
8214386,687,4
470511,9392,12
1703441,221,2
615,49840,430
651061,9891,464
1272108,877,1
355741,3447,6
5424025,4065,6
5089807,4,1
5765532,337,2
2987,14310,11
367838,309,2
116528,2194,36
5805827,1617,4
110703,70138,6
5877839,621,2
4330924,4391,4
432022,123960,17
210274,260,2
4936,1656,24
101906,515,24
5495629,1,10
259602,5595,18
5927123,1,2
425643,109,12
1690336,19213,10
535041,241969,3
2168,31693,22
515672,2103,21
415032,17322,17
192,1521233,80
3931,6014,12
1626113,17008,17
3013,6916,9
5098373,767,10
4365847,2853,5
17262,46863,21
254617,40868,52
7331,1008,6
4930001,1210,11
1631262,147086,38
267959,130,7
631,176269,15
5164615,1475,47
1650516,4200,198
153702,84276,39
6807379,10,1
443634,12516,7
241773,51745,17
132154,18291,18
7010729,7500,3
4951378,769,14
7044481,50,0
4553724,107,4
4571,204438,41
4543684,7798,11
7071093,265,3
3056,49864,14
1241690,1242,55
317527,3067,55
300323,33070,12
259778,5738,4
180247,6760,11
372055,1567,3
5883018,18807,8
6202,7024,26
4394018,25,18
85024,2798,22
124524,3666,12
1251645,325,3
1181533,2361,20
5307736,1168,9
115,4345588,51
4027889,14899,11
17150,9791,11
7315632,42,3
4054212,182,3
1700105,1476,7
4204,10243,9
1378965,930,3
4528979,18,4
308253,418578,13
6085582,6,7
7474422,3,1
1352100,6281,12
1991,7483,23
80681,9029,15
7163620,1505,5
4259643,453,4
5632668,77,3
156302,115,24
333427,292,14
494519,150812,12
1097709,2517750,19
7632910,1673,1
57508,691,296
78,1617372,27
1214,124004,31
16596,85890,53
764,8771,45
4743349,132,0
2527,1983476,92
5916,4911,1
12999,62330,48
725,2308770,45
3117,104632,15
240,70910,22
1592725,5914,3
796,720854,35
8230,4040,16
172564,24565,30
188460,32,0
10799782,69660,20
490,174854,8
1418490,146,0
185956,561,19
75234,495,9
74804,5568194,55
9420,22067,27
8223,64,2
146380,4881,18
1951,37085,87
586,174354,35
93,997483,14
107624,385,30
66206,721,6
6035,40905,49
195432,412,2
188675,2467,0
15767,22631,36
13707,1048,7
471121,771,11
4890490,64,6
2947,170358,399
1492821,344,9
6118,8013,12
54490,3422,10
3194,38016,68
5095585,2813,5
7552390,665,32
7808674,555,2
7902306,64,3
4594669,47,0
4318,90992,19
1474442,62,16
74289,362429,18
7983850,18,1
4426,9421,14
5548078,776,398
8107415,3219,1
130998,1113,32
3757,133171,104
4555300,0,3
561128,2605,23
4497168,3660,4
4312845,406548,51
14046,86935,21
8292310,297,0
12106,8740,10
170501,4692,8
2254491,58375,18
157701,23846,11
58962,121831,256
550346,525018,20
7935884,4116,98
4929920,1590,13
8696954,3,20
122939,7858,67
102217,4155,31
1878,454052,21
1658933,50574,21
2383,2484,18
177,384865,34
3171351,2328,6
1059974,11467,5
4541009,1888,4
54619,119000,44
9269,9364,39
615134,6984,1
4512791,12962,22
2077,222626,92
8780006,461,0
6832003,935,3
252475,113103,7
83110,185340,6
6556451,8340,23
152322,546,3
1007,365951,396
1077715,658,3
9383788,222,0
85,1300634,47
7886556,115,0
9383786,68,0
7886558,119,0
4043368,183631,10
183821,633752,8
1651095,468755,18
826469,195,123
16407,9316,35
319987,1552,2
6758517,21,3
6215138,0,1
8,672376,29
6090420,3715,5
7633570,1133,496
1219300,580,3
8907066,66176,5
9422912,614,2
5248958,327,5
153959,2032,21
1172828,108,3
9460822,19,0
9460830,906,0
9460842,1,0
9460840,9,0
9460832,1,0
9470574,4,2
1329,586,15
294680,2024,39
317813,776,8
660,102535,11
6935585,703,9
1154611,1693204,52
402,669922,22
105,817353,46
1314048,2214,9
17269,26671,0
4273666,314,2
864500,1113,40
158803,512,13
250718,6656,9
1662271,8287,23
4674404,283,2
806918,461,11
159351,507,11
9746066,488,1
119638,2325,15
9443378,5,1
395989,41168,22
9860798,756,0
4649854,994,13
8271150,1,387
14608,5633,5
5863851,22480,24
1465570,74944,21
509144,2889,25
4331221,1904,4
2281211,15850,2
4443879,1552,11
1624980,82161,7
1563138,251267,2
4588873,609,5
793825,515552,11
4619658,2439,3
388408,1295,5
102,6089051,90
67165,5122,15
180020,5615,27
292622,14721,34
2376,428813,3
286350,5435,10
178373,3221,7
256718,2983,10
407858,26788,11
9089,7019,13
1679805,26,1
344108,998,3
2324461,5204,3
8184970,2316,8
5622189,62,3
10205374,716,5
2552611,36160,20
10235566,97,0
149042,5144,23
5336352,1790,65
5595390,4103,3
10266080,51,1
5940940,9140,11
912,335296,25
10241296,0,8
5200457,1445,12
5176,328861,345
5611,115141,44
66582,46325,13
133271,127378,22
164467,33729,17
4033307,500902,27
1224045,10682,10
4052518,104267,20
10597773,107,1
1296502,3842,4
10636339,49,1
5366212,425,8
4027354,539,11
10548167,0,0
6238742,352,2
8278530,583,4
1281824,2283,10
10597125,566,3
8284448,451,1
193875,4338625,24
5502378,7,6
156842,347,23
4211679,74,17
257956,4065,23
272575,6008,13
13612,1223,32
7358500,1231,9
429252,29660,12
1441,8373,297
620,806554,430
